f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
0;0; Ussaga;0;istn-54f2cb5db4;288632
87;1;Lebak Bulus;1;acer-PC;2151322
93;2;Bogor;2;debrina;291820
96;21;Tangerang;2;DUDY;admin
99;24;Depok;2;debrina;291820
101;31;Pandeglang;2;Akademik;282240
103;33;Bogor;2;debrina;291820
121;1;Magelang;3;yuli;288632
141;43;Karanganyar;3;user-PC;2151322
143;45;Toroh Grobogan;3;lili-PC;183309
166;4;Pasuruan;5;administrator;282240
202;17;Aceh Selatan;6;debrina;288632
203;20;Aceh Tenggara;6;debrina;288632
204;21;Aceh Timur;6;debrina;288632
205;22;Aceh Tengah;6;debrina;288632
206;23;Aceh Barat;6;debrina;288632
207;24;Aceh Besar;6;debrina;288632
208;25;Aceh Utara;6;debrina;288632
209;26;Pidie;6;debrina;288632
213;4;Pematangsiantar;7;Akademik;282240
217;31;Hilisimaetano;7;acer-PC;2151322
230;3;Sawahlunto;8;user-PC;2151322
237;33;Muaro Bodi;8;istn-dev;1991065
251;1;Lubuk Jambi;10;istn-dev;1991065
267;34;Sukajadi/Lahat;11;yuli;288632
272;11;Tanjungkarang;12;debrina;288632
273;59;Bandar Lampung;12;istn-54f2cb5db4;288632
274;23;Marga Lestari;12;istn-54f2cb5db4;288632
275;24;Lampung Tengah;12;istn-54f2cb5db4;288632
276;25;Subik;12;DESKTOP-QFC16ML;2151322
277;1;Pontianak;13;debrina;291820
285;1;Palangkaraya;14;user-PC;2151322
295;40;Pembuang Hulu;14;BAAKISTN-PC;2151322
309;10;Tarakan;16;DESKTOP-U7V8A28;8669
310;11;Berau;16;DESKTOP-U7V8A28;8669
311;12;Bulungan;16;DESKTOP-U7V8A28;8669
312;13;Kutai;16;DESKTOP-U7V8A28;8669
313;14;Pasir;16;DESKTOP-U7V8A28;8669
327;2;Pare - Pare;19;DESKTOP-MG98F4F;8990
350;22;Tarafu;20;BAAKISTN-PC;2151322
357;36;Maluku Tenggara;21;debrina;288632
362;31;Badung;22;yuli;288632
374;34;Leneng;23;acer-PC;2151322
375;35;Kembang Kerang;23;acer-PC;2151322
401;32;Argamakmur;26;DESKTOP-MG98F4F;8990
403;21;Dili;27;DESKTOP-CHACMKN;8990
420;9;Lhok Parom;6;BAAKISTN-PC;2151322
421;0;Jakarta;1;istnprima;admin
422;60;Solo;3;istnprima;admin
423;38;Lampung;12;istn-54f2cb5db4;288632
424;42;Berastagi;7;BAAKISTN-PC;2151322
425;93;Brisbane;28;istnprima;admin
426;61;Kutoarjo;3;kepegawaian;288630
427;62;Gombong;3;kepegawaian;288630
428;63;Ketanggungan;3;kepegawaian;288630
429;64;Sragen;3;kepegawaian;288630
430;65;Kroya;3;PMB;288630
431;37;Sape;23;developer;admin
432;36;Daik;9;developer;admin
433;39;Martapura;11;developer;admin
434;66;Puring Kebumen;3;developer;admin
435;43;Gunungsitoli;7;developer;admin
436;37;Duri;9;developer;admin
437;27;Kotabumi;12;istn-54f2cb5db4;288632
438;28;Bandarjaya;12;istn-54f2cb5db4;288632
439;39;Muaro Tantang;8;developer;admin
440;40;Muaradua;11;istn-dev;11930005
441;41;Sungai Bungin;11;istn-dev;11930005
442;40;Sentani;25;pmb;1991065
443;43;Parit Tiga Jebus;11;istn-dev;1991065
444;40;Lubuk Basung;8;pmb;1991065
445;42;Pagaralam;11;istn-dev;1991065
446;44;Limbong;7;istn-dev;1991065
447;51;Rangkasbitung;2;istn-dev;1991065
448;38;Tembilahan;9;istn-dev;1991065
449;41;Bapinang Hulu;14;istn-dev;1991065
450;45;Sukaramai;7;pusdatik01;1991065
451;44;Nanjungan;11;pusdatik01;1991065
452;29;Sumbersari;12;istn-54f2cb5db4;288632
453;41;Koto Alam;8;istn-dev;1991065
454;42;Tapan;8;istn-dev;1991065
455;46;Parongil;7;pusdatik01;282240
456;45;sengir;11;wasim;282240
457;46;Sungailiat;11;wasim;282240
458;39;Tanjung Pinang;9;wasim;282240
459;46;Bandar Dolok;7;wasim;282240
460;43;Simpang Tiga Ophir;8;pusdatik-01;admin
461;47;Balige;7;wasim;282240
462;42;lewolwba;24;wasim;282240
463;43;Habijanang;24;wasim;282240
464;38;Ranggase;23;wasim;282240
465;47;Tugu Mulyo;11;wasim;282240
466;44;Bayur;8;pusdatik-01;admin
467;35;SENGKANG;4;wasim;282240
468;44;Mok;24;wasim;282240
469;48;Rayamas;7;user-39d10cbd43;282240
470;48;Naras;11;wasim;282240
471;49;Kaban Jahe;7;ISTNAKADEMIK-PC;105
472;50;Sidikalang;7;P2NR-Rudy;282240
473;38;Rimbo Bujang;10;P2NR-Rudy;282240
474;49;Mentok;11;P2NR-Rudy;282240
475;51;Haranggaol;7;P2NR-Rudy;282240
476;42;Kasongan;14;P2NR-Rudy;282240
477;52;Sukarani;7;administrator;282240
478;53;Sukarami;7;administrator;282240
479;30;Pasar Liwa;12;istn-54f2cb5db4;288632
480;41;Maumere;25;administrator;282240
481;1;Kampong Speu;32;administrator;282240
482;2;Preahyihear;32;administrator;282240
483;54;Perdagangan;7;wasim;282240
484;52;Makassar;19;wasim;282240
485;52;Cikarang;2;administrator;282240
486;39;Balinggi;22;administrator;282240
487;42;Wamena;25;Akademik;282240
488;35;Biak;17;administrator;282240
489;31;Metro;12;istn-54f2cb5db4;288632
490;39;Tanjung Jati;10;administrator;282240
491;45;Flores;24;administrator;282240
492;55;Karang Sari;7;administrator;282240
493;56;Hutanagodang;7;administrator;282240
494;45;Batu Palano;8;administrator;282240
495;46;Parit;8;administrator;282240
496;57;Pulau Rakyat;7;administrator;282240
497;40;Bangkinang;9;administrator;282240
498;5;Maumere;33;Akademik;282240
499;47;Batusangkar;8;administrator;282240
500;48;Tanjung Jati;8;administrator;282240
501;6;usa;1;administrator;282240
502;49;Kuala Simpang;8;administrator;282240
503;40;Bali;22;administrator;282240
504;58;Lumban Ganjang;7;administrator;282240
505;50;Soroako;11;administrator;282240
506;3;Kumbang;6;administrator;282240
507;35;Nuwewang;21;administrator;282240
508;7;Bandar Purba;7;administrator;282240
509;2;Rasau Jaya;13;administrator;282240
510;3;Koba;11;administrator;282240
511;2;Lempur Mudik;4;administrator;282240
512;2;Tenggarong;33;administrator;282240
513;8;Sirombu;7;administrator;282240
514;41;Lubuk Pakam;7;administrator;282240
515;3;Ruteng;33;administrator;282240
516;4;Langgam;33;administrator;282240
517;53;Pungkalawaki;19;administrator;282240
518;36;Tehoru;17;administrator;282240
519;32;Manna;12;istn-54f2cb5db4;288632
520;53;Sukarami;2;administrator;282240
521;54;Kajuara Bone;19;administrator;282240
522;55;Liangbai;19;administrator;282240
523;35;Tolitoli;20;administrator;282240
524;56;Cilellang;19;administrator;282240
525;57;Jampoe;19;administrator;282240
526;3;Putussibau;13;administrator;282240
527;1;Lamangga;20;administrator;282240
