f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username;f_tanggalupdate
2;1;United Arab Emirats;28;;;49:07.3
3;2;Afganistan;28;;;49:07.3
4;3;Bahrain;28;;;49:07.3
5;4;Bangladesh;28;;;49:07.3
6;5;Birma;28;;;49:07.3
7;6;China;28;;;49:07.3
8;7;Cambodia;28;;;49:07.3
9;8;Hongkong;28;;;49:07.3
10;9;India;28;;;49:07.3
11;10;Iran;28;;;49:07.3
12;11;Iraq;28;;;49:07.3
13;12;Israel;28;;;49:07.3
14;13;Jepang;28;;;49:07.3
15;14;Jordania;28;;;49:07.3
16;15;Korea Utara;28;;;49:07.3
17;16;Korea Selatan;28;;;49:07.3
18;17;Kuwait;28;;;49:07.3
19;18;Laos;28;;;49:07.3
20;19;Libanon;28;;;49:07.3
21;20;Macao;28;;;49:07.3
22;21;Malaysia;28;;;49:07.3
23;22;Pakistan;28;;;49:07.3
24;23;Papua New Guinea;28;;;49:07.3
25;24;Philipina;28;;;49:07.3
26;25;Saudi Arabia;28;;;49:07.3
27;26;Srilangka;28;;;49:07.3
28;27;Singapore;28;;;49:07.3
29;28;Syria;28;;;49:07.3
30;29;Thailand;28;;;49:07.3
31;30;Taiwan;28;;;49:07.3
32;31;Turki;28;;;49:07.3
33;32;Vietnam;28;;;49:07.3
34;33;Yaman;28;;;49:07.3
35;36;Algeria;28;;;49:07.3
36;37;Libya;28;;;49:07.3
37;38;Maroko;28;;;49:07.3
38;39;Mesir;28;;;49:07.3
39;40;Malagasi;28;;;49:07.3
40;41;Nigeria;28;;;49:07.3
41;42;Sudan;28;;;49:07.3
42;43;Tanzania;28;;;49:07.3
43;44;Tunisia;28;;;49:07.3
44;45;Uganda;28;;;49:07.3
45;46;Afrika;28;;;49:07.3
46;47;Afrika;28;;;49:07.3
47;48;Amerika Serikat;28;;;49:07.3
48;49;Argentina;28;;;49:07.3
49;50;Alaska;28;;;49:07.3
50;51;Brazil;28;;;49:07.3
51;52;Canada;28;;;49:07.3
52;53;Chili;28;;;49:07.3
53;54;Colombia;28;;;49:07.3
54;55;Cuba;28;;;49:07.3
55;56;Mexico;28;;;49:07.3
56;60;Austria;28;;;49:07.3
57;61;Belgia;28;;;49:07.3
58;62;Bulgaria;28;;;49:07.3
59;63;Belanda;28;;;49:07.3
60;64;Cyprus;28;;;49:07.3
61;65;Chekoslovakia;28;;;49:07.3
62;66;Denmark;28;;;49:07.3
63;67;Hongaria;28;;;49:07.3
64;68;Irlandia;28;;;49:07.3
65;69;Italia;28;;;49:07.3
66;70;Inggris;28;;;49:07.3
67;71;Jerman Barat;28;;;49:07.3
68;72;Jerman Timur;28;;;49:07.3
69;73;Luxemburg;28;;;49:07.3
70;74;Polandia;28;;;49:07.3
71;75;Portugal;28;;;49:07.3
72;76;Perancis;28;;;49:07.3
73;77;Spanyol;28;;;49:07.3
74;78;Swedia;28;;;49:07.3
75;79;Swiss;28;;;49:07.3
76;80;Soviet;28;;;49:07.3
77;81;Yunani;28;;;49:07.3
78;82;Yugoslavia;28;;;49:07.3
79;86;Australia;28;;;49:07.3
80;87;Christmas Island;28;;;49:07.3
81;88;Fiji Island;28;;;49:07.3
82;89;Polynesia;28;;;49:07.3
83;90;New Caledonia;28;;;49:07.3
84;91;New Hebrides;28;;;49:07.3
85;92;New Zealand;28;;;49:07.3
92;1;Bandung;2;;;49:07.3
94;3;Sukabumi;2;;;49:07.3
95;4;Cirebon;2;;;49:07.3
1261;31;RSU. Maumere;33;BAAK-PC;288646;49:58.1
97;22;Tasikmalaya;2;;;49:07.3
98;23;Bekasi;2;;;49:07.3
100;25;Cimahi;2;;;49:07.3
748;12;Gunungkidul;3;Akademik;282240;48:50.6
102;32;Lebak;2;;;49:07.3
104;34;Sukabumi;2;;;49:07.3
105;35;Cianjur;2;;;49:07.3
106;36;Bandung;2;;;49:07.3
107;37;Garut;2;;;49:07.3
108;38;Tasikmalaya;2;;;49:07.3
109;39;Ciamis;2;;;49:07.3
110;40;Kuningan;2;;;49:07.3
111;41;Cirebon;2;;;49:07.3
112;42;Majalengka;2;;;49:07.3
113;43;Sumedang;2;;;49:07.3
114;44;Indramayu;2;;;49:07.3
115;45;Subang;2;;;49:07.3
116;46;Purwakarta;2;;;49:07.3
117;47;Karawang;2;;;49:07.3
118;48;Tangerang;2;;;49:07.3
119;49;Serang;2;;;49:07.3
120;50;Bekasi;2;;;49:07.3
122;2;Surakarta;3;;;49:07.3
123;3;Salatiga;3;;;49:07.3
124;4;Semarang;3;;;49:07.3
125;5;Pekalongan;3;;;49:07.3
126;6;Tegal;3;;;49:07.3
127;21;Purwokerto;3;;;49:07.3
128;22;Cilacap;3;;;49:07.3
129;31;Cilacap;3;;;49:07.3
130;32;Banyumas;3;;;49:07.3
131;33;Purbalingga;3;;;49:07.3
132;34;Banjarnegara;3;;;49:07.3
133;35;Kebumen;3;;;49:07.3
134;36;Purworejo;3;;;49:07.3
135;37;Wonosobo;3;;;49:07.3
136;38;Magelang;3;;;49:07.3
137;39;Boyolali;3;;;49:07.3
138;40;Klaten;3;;;49:07.3
139;41;Sukoharjo;3;;;49:07.3
140;42;Wonogiri;3;;;49:07.3
1468;68;Kertosono;5;DUDY;admin;02:26.8
142;44;Sragen;3;;;49:07.3
121;1;Magelang;3;yuli;288632;10:19.7
144;46;Blora;3;;;49:07.3
145;47;Rembang;3;;;49:07.3
146;48;Pati;3;;;49:07.3
147;49;Kudus;3;;;49:07.3
148;50;Jepara;3;;;49:07.3
149;51;Demak;3;;;49:07.3
150;52;Semarang;3;;;49:07.3
151;53;Temanggung;3;;;49:07.3
152;54;Kendal;3;;;49:07.3
153;55;Batang;3;;;49:07.3
154;56;Pekalongan;3;;;49:07.3
155;57;Pemalang;3;;;49:07.3
156;58;Tegal;3;;;49:07.3
157;59;Brebes;3;;;49:07.3
158;1;Yogyakarta;4;;;49:07.3
159;31;Kulon Progo;4;;;49:07.3
160;32;Bantul;4;;;49:07.3
161;33;Gunung Kidul;4;;;49:07.3
162;34;Sleman;4;;;49:07.3
163;1;Surabaya;5;;;49:07.3
164;2;Mojokerto;5;;;49:07.3
165;3;Malang;5;;;49:07.3
749;13;Karanganyar, Solo;3;Akademik;282240;09:54.5
167;5;Kediri;5;;;49:07.3
168;6;Blitar;5;;;49:07.3
169;7;Probolinggo;5;;;49:07.3
170;21;Jember;5;;;49:07.3
171;31;Pacitan;5;;;49:07.3
172;32;Ponorogo;5;;;49:07.3
173;33;Trenggalek;5;;;49:07.3
174;34;Tulung Agung;5;;;49:07.3
175;35;Blitar;5;;;49:07.3
176;36;Kediri;5;;;49:07.3
177;37;Malang;5;;;49:07.3
178;38;Lumajang;5;;;49:07.3
179;39;Jember;5;;;49:07.3
180;40;Banyuwangi;5;;;49:07.3
181;41;Bondowoso;5;;;49:07.3
182;42;Panarukan;5;;;49:07.3
183;43;Probolinggo;5;;;49:07.3
184;44;Pasuruhan;5;;;49:07.3
185;45;Sidoarjo;5;;;49:07.3
186;46;Mojokerto;5;;;49:07.3
187;47;Jombang;5;;;49:07.3
188;48;Nganjuk;5;;;49:07.3
189;49;Madiun;5;;;49:07.3
190;50;Magetan;5;;;49:07.3
191;51;Ngawi;5;;;49:07.3
192;52;Bojonegoro;5;;;49:07.3
193;53;Tuban;5;;;49:07.3
194;54;Lamongan;5;;;49:07.3
195;55;Gresik;5;;;49:07.3
196;56;Bangkalan;5;;;49:07.3
197;57;Sampang;5;;;49:07.3
198;58;Pamekasan;5;;;49:07.3
199;59;Sumenep;5;;;49:07.3
200;1;Banda Aceh;6;;;49:07.3
201;2;Sabang;6;;;49:07.3
1905;16;Tanjung Iman;12;debrina;288632;22:07.7
1601;17;Tanjung Jaya;12;debrina;288632;23:00.7
540;18;Pardasuka;12;debrina;288632;23:15.2
551;19;Kalianda;12;debrina;288632;23:33.3
566;20;Candimas;12;debrina;288632;23:58.8
567;21;Muara Bungo;12;debrina;288632;24:19.9
568;22;Way Jepara;12;debrina;288632;24:31.3
210;1;Medan;7;;;49:07.3
211;2;Sibolga;7;;;49:07.3
212;3;Tanjung Balai;7;;;49:07.3
214;5;Tebing Tinggi;7;;;49:07.3
215;6;Binjai;7;;;49:07.3
216;21;Kisaran;7;;;49:07.3
218;32;Tapanuli Selatan;7;;;49:07.3
219;33;Tapanuli Tengah;7;;;49:07.3
220;34;Tapanuli Utara;7;;;49:07.3
221;35;Labuhan Ratu;7;;;49:07.3
222;36;Asahan;7;;;49:07.3
223;37;Simalungun;7;;;49:07.3
224;38;Dairi;7;;;49:07.3
225;39;Karo;7;;;49:07.3
226;40;Deli Serdang;7;;;49:07.3
227;41;Langkat;7;;;49:07.3
228;1;Padang;8;;;49:07.3
229;2;Solok;8;;;49:07.3
1469;92;Margorejo;12;istn-54f2cb5db4;288632;34:32.3
231;4;Padang Panjang;8;;;49:07.3
232;5;Bukittinggi;8;;;49:07.3
233;6;Payakumbuh;8;;;49:07.3
234;21;Padang Sidempuan;8;;;49:07.3
235;31;Pesisir Selatan;8;;;49:07.3
236;32;Solok;8;;;49:07.3
238;34;Tanah Datar;8;;;49:07.3
239;35;Padang Pariaman;8;;;49:07.3
240;36;Agam;8;;;49:07.3
241;37;Limapuluh Kota;8;;;49:07.3
242;38;Pasaman;8;;;49:07.3
243;1;Pekanbaru;9;;;49:07.3
244;2;Batam;9;;;49:07.3
245;21;Dumai;9;;;49:07.3
246;31;Indragiri Ulu;9;;;49:07.3
247;32;Indragiri Ilir;9;;;49:07.3
248;33;Kepulauan Riau;9;;;49:07.3
249;34;Kampar;9;;;49:07.3
250;35;Bengkalis;9;;;49:07.3
252;31;Jambi;10;;;49:07.3
253;32;Muara Bungo Tebo;10;;;49:07.3
254;33;Tanjung Jabung;10;;;49:07.3
255;34;Batang Hari;10;;;49:07.3
256;35;Bangko Sarulangun;10;;;49:07.3
257;36;Kerinci;10;;;49:07.3
258;37;Saeko;10;;;49:07.3
259;1;Palembang;11;;;49:07.3
260;2;Pangkal Pinang;11;;;49:07.3
