f_peminatan_id;f_progdi_id;f_kodeminat;f_namaminat;f_komputer;f_username;f_tanggalupdate;f_kurikulum;f_namaminat_eng
4443;10;0;Teknik Mesin;;;;1991;
4470;3;2;Konstruksi;;;;1997;
4472;3;4;Teknik Produksi;;;;1997;
4474;4;1;Teknik Energi Listrik;;;;1997;
4475;4;2;Teknik Listrik Industri;;;;1997;
4476;4;3;Teknik Elektronika;;;;1997;
4477;4;4;Teknik Telekomunikasi;;;;1997;
4478;4;5;Teknik Sistem Komputer;;;;1997;
4480;5;0;Matematika;;;;1997;
4481;5;1;Statistika;;;;1997;
4482;5;2;Komputasi;;;;1997;
4483;6;0;Fisika;;;;1997;
4484;6;1;Fisika Terapan;;;;1997;
4485;6;2;Fisika Instrumentasi;;;;1997;
4488;9;1;Bangunan Gedung;;;;2000;
4496;13;0;Teknik Elektro;;;;2000;
4497;14;0;Teknik Industri;;;;2000;
4804;18;0;Dasar;;;;2009;
4501;4;0;Dasar;istnprima;admin;03:09.1;1997;
4500;1;0;Teknik Sipil;istnprima;admin;00:19.9;1996;
4468;3;0;Teknik Mesin;istnprima;admin;50:29.5;1997;
4506;2;4;Paket 4;istnprima;admin;56:58.0;2001;
4492;11;1;Teknik Energi Listrik;;;;2000;
4493;11;2;Teknik Eletronika;;;;2000;
4494;11;3;Teknik Telekomunikasi;;;;2000;
4487;9;0;Teknik Sipil;istnprima;admin;39:00.6;2000;
4596;1;0;Teknik Sipil (Dasar);istnprima;admin;11:22.9;2001;
4451;1;1;Teknik Struktur;istnprima;admin;12:32.8;1996;
4597;1;1;Teknik Struktur;istnprima;admin;12:39.3;2001;
4452;1;2;Teknik Transportasi;istnprima;admin;12:46.6;1996;
4598;1;2;Teknik Transportasi;istnprima;admin;12:54.0;2001;
4453;1;3;Teknik Penyehatan Lingk.;istnprima;admin;13:01.3;1996;
4599;1;3;Teknik Penyehatan Lingk.;istnprima;admin;13:13.9;2001;
4454;1;4;Manajemen Konstruksi;istnprima;admin;13:20.2;1996;
4600;1;4;Manajemen Konstruksi;istnprima;admin;13:27.1;2001;
4601;1;0;Teknik Sipil;istnprima;admin;13:41.0;1991;
4602;2;0;Teknik Arsitektur;istnprima;admin;14:25.2;2001;
4603;3;0;Dasar;istnprima;admin;14:42.0;1996;
4469;3;1;Konversi Energi;istnprima;admin;14:48.4;1997;
4604;3;1;Konversi Energi;istnprima;admin;14:53.8;1996;
4605;3;2;Konstruksi;istnprima;admin;15:15.5;1996;
4471;3;3;Metalurgi;istnprima;admin;15:47.6;1997;
4606;3;3;Metalurgi;istnprima;admin;15:54.2;1996;
4607;4;0;Dasar;istnprima;admin;35:12.7;1991;
4608;4;1;Teknik Energi Listrik;istnprima;admin;35:41.0;1991;
4609;4;2;Teknik Listrik Industri;istnprima;admin;35:52.3;1991;
4610;4;3;Teknik Elektronika;istnprima;admin;36:07.4;1991;
4611;4;4;Teknik Telekomunikasi;istnprima;admin;36:22.0;1991;
4612;4;5;Teknik Sistem Komputer;istnprima;admin;36:40.1;1991;
4613;4;0;Dasar;istnprima;admin;37:36.2;1996;
4614;4;1;Teknik Energi Listrik;istnprima;admin;38:38.2;1996;
4615;4;2;Teknik Listrik Industri;istnprima;admin;38:51.7;1996;
4616;4;3;Teknik Elektronika;istnprima;admin;39:07.0;1996;
4617;4;4;Teknik Telekomunikasi;istnprima;admin;39:21.2;1996;
4618;4;5;Teknik Kontrol;istnprima;admin;40:02.4;1996;
4619;4;6;Teknik Kontrol;istnprima;admin;40:21.6;1996;
4620;5;0;Dasar;istnprima;admin;40:36.2;1991;
4622;6;1;Fisika Terapan;istnprima;admin;41:27.7;1991;
4623;6;2;Fisika Instrumentasi;istnprima;admin;41:44.1;1991;
4621;6;0;Fisika;istnprima;admin;41:52.8;1991;
4624;7;0;Farmasi;istnprima;admin;42:43.9;1991;
4625;9;0;Teknik Sipil;istnprima;admin;43:18.9;1987;
4626;9;0;Teknik Sipil;istnprima;admin;43:34.6;1991;
4627;10;0;Dasar;istnprima;admin;44:56.6;1987;
4629;10;1;Teknik Mesin/Produksi;istnprima;admin;45:33.2;1987;
4630;10;2;Teknik Mesin/Perawatan & Perbaikan;istnprima;admin;45:49.3;1987;
4631;10;1;Teknik Mesin/Produksi;istnprima;admin;46:49.4;1991;
4632;10;2;Teknik Mesin/Perawatan & Perbaikan;istnprima;admin;48:53.9;1991;
4635;11;0;Dasar;istnprima;admin;49:25.8;1987;
4636;11;1;Teknik Energi Listrik;istnprima;admin;49:41.4;1987;
4637;11;2;Teknik Eletronika;istnprima;admin;49:53.3;1987;
4638;11;3;Teknik Telekomunikasi;istnprima;admin;50:08.0;1987;
4639;11;0;Dasar;istnprima;admin;50:21.8;1991;
4640;11;1;Teknik Energi Listrik;istnprima;admin;50:59.4;1991;
4641;11;2;Teknik Eletronika;istnprima;admin;51:10.4;1991;
4642;11;3;Teknik Telekomunikasi;istnprima;admin;51:24.3;1991;
4491;11;0;Dasar;server02;admin;19:22.0;2000;
4495;12;0;Enjinering Manufaktur;server02;admin;19:39.9;1998;
4486;7;0;Farmasi;server02;admin;46:35.6;1997;
4644;0;0;Dasar;istnprima;admin;49:58.7;2004;
4646;2;0;Dasar;istnprima;admin;47:49.8;1991;
4647;2;1;Paket 1;istnprima;admin;48:06.1;1991;
4648;2;1;Paket 1;istnprima;admin;52:37.9;1996;
4455;2;0;Teknik Arsitektur;istnprima;admin;52:40.4;1996;
4649;17;0;Dasar;prototipe4;admin;01:23.1;2004;
4650;17;1;Teknik Industri 1;prototipe4;admin;01:38.3;2004;
4651;17;2;Teknik Industri 2;prototipe4;admin;01:46.5;2004;
4652;4;0;Dasar;prototipe4;admin;34:50.0;1985;
4653;4;1;Teknik Energi Listrik;prototipe4;admin;35:16.2;1985;
4654;4;2;Teknik Energi Listrik Industri;prototipe4;admin;35:31.0;1985;
4655;4;3;Teknik Elektronika;prototipe4;admin;35:45.5;1985;
4656;4;4;Teknik Telekomunikasi;prototipe4;admin;35:59.1;1985;
4657;4;5;Teknik Sistem Komputer;prototipe4;admin;36:10.2;1985;
4628;10;0;Dasar;proxyistn;admin;11:36.0;2000;Basic
4489;10;1;Produksi;proxyistn;admin;11:50.7;2000;Production
4697;5;1;KOMPUTASI;pusdatik-01;admin;21:34.7;2007;
4658;10;3;Otomotif;proxyistn;admin;12:10.1;2000;Otomotif
4504;2;2;Bangunan;pusdatik;admin;29:02.3;2001;
4505;2;3;Permukiman;pusdatik;admin;29:17.8;2001;
4659;10;0;Dasar;developer;admin;34:34.9;2004;
4660;10;1;Produksi;developer;admin;34:48.2;2004;
4661;10;2;Perawatan dan Perbaikan;developer;admin;34:56.2;2004;
4662;10;3;Otomotif;developer;admin;35:04.6;2004;
4479;4;6;Teknik Kontrol;istn-dev;11930005;34:01.4;1997;Control Engineering
4663;3;0;Dasar;FTI;11930005;08:26.2;1991;
4664;3;1;Konversi Energi;FTI;11930005;08:39.5;1991;
4665;3;3;Metalurgi;FTI;11930005;08:50.8;1991;
4666;3;2;Konstruksi;FTI;11930005;09:10.5;1991;
4667;3;0;Dasar;FTI;11930005;09:30.4;1985;
4668;3;1;Konversi Energi;FTI;11930005;09:42.3;1985;
4670;3;2;Konstruksi;FTI;11930005;10:36.8;1985;
4671;3;3;Metalurgi;FTI;11930005;10:45.3;1985;
4503;2;1;Perkotaan;Registrasi;1991065;55:29.5;2001;
4672;1;0;Teknik Sipil (Dasar);istn-dev;1991065;21:46.7;2005;
4673;2;0;Teknik Arsitektur;istn-dev;1991065;22:31.2;2005;
4674;3;0;Dasar;istn-dev;1991065;22:58.5;2005;
4675;4;0;Dasar;istn-dev;1991065;23:19.7;2005;
4676;17;0;Dasar;istn-dev;1991065;23:43.6;2005;
4677;7;0;Farmasi;istn-dev;1991065;24:20.3;2005;
4678;9;0;Dasar;istn-dev;1991065;24:45.8;2005;
4679;10;0;Dasar;istn-dev;1991065;25:06.0;2005;
4680;11;0;Dasar;istn-dev;1991065;25:26.4;2005;
4698;5;2;STATISTIK;pusdatik-01;admin;21:44.6;2007;
4699;5;3;EKONOMI;pusdatik-01;admin;21:53.9;2007;
4700;5;4;KEPENDIDIKAN;pusdatik-01;admin;22:06.6;2007;
4702;6;1;INSTRUMENTASI & TERAPAN;pusdatik-01;admin;22:38.7;2007;
4703;6;2;KEPENDIDIKAN;pusdatik-01;admin;22:48.2;2007;
4704;6;3;EKONOMI FISIKA;pusdatik-01;admin;22:57.6;2007;
4915;19;0;Dasar;;;;2013;
4706;3;0;Teknik Mesin;pusdatik-01;admin;50:45.8;2007;
4919;4;0;Umum;istn-PC2;183309;20:08.0;2013;
5091;11;1;Teknik Listrik;INTERNET;105;36:11.2;2018;Industrial Electricity
4710;9;0;Teknik Sipil;pusdatik-01;admin;13:08.7;2007;
4715;0;0;Umum;pusdatik-01;admin;32:41.8;2007;
4686;7;0;Farmasi;pusdatik-01;admin;06:46.3;2007;
4696;5;0;Matematika;pusdatik-01;admin;13:55.5;2007;
4761;10;3;Teknik Otomotif;Warek;admin;54:59.4;2008;
4693;10;1;Teknik Produksi;Warek;admin;55:15.5;2007;
4695;10;3;Teknik Otomotif;Warek;admin;55:54.9;2007;
4701;6;0;Fisika;pusdatik-01;admin;14:04.2;2007;
4691;1;0;Teknik Sipil;pusdatik-01;admin;53:00.2;2007;
4997;21;0;Dasar;;;;2017;
4694;10;2;Tek Prwt & Perb Mesin Industri;Warek;admin;40:34.4;2007;
4490;10;2;Perawatan & Perbaikan;Dadang;admin;13:16.3;2000;Maintenance and Repairing
4805;19;0;Dasar;;;;2009;
4791;3;1;Konversi Energi;;;;2005;
4692;10;0;Teknik Mesin;pusdatik-01;admin;14:21.7;2007;
4792;13;1;Tenaga Listrik;Warek;admin;08:50.2;1997;TL
4806;20;0;Dasar;;;;2010;
4774;0;0;Umum;istn-noc-tc7;188780;27:50.1;2008;
4731;1;5;Geoteknik;pusdatik-01;admin;20:25.7;2007;
4916;20;0;Dasar;;;;2013;
4920;4;1;Tenaga Listrik;istn-PC2;183309;20:31.5;2013;
4720;4;6;Teknik Kontrol;;;;2007;
4721;4;5;Teknik Sistem Komputer;;;;2007;
4722;2;3;Permukiman;;;;2007;
4723;2;2;Bangunan;;;;2007;
4724;2;1;Perkotaan;;;;2007;
4725;3;4;Teknik Produksi;;;;2007;
4726;3;3;Metalurgi;;;;2007;
4727;3;1;Konversi Energi;;;;2007;
4728;3;2;Konstruksi;;;;2007;
4729;2;4;Paket 4;;;;2007;
4730;9;1;Bangunan Gedung;;;;2007;
4732;11;3;Teknik Telekomunikasi;;;;2005;
4733;11;1;Teknik Energi Listrik;;;;2005;
4794;13;1;Tenaga Listrik;Warek;admin;10:29.7;1999;TL
4735;18;0;Dasar;;;;2008;
